"time","error_m1","error_m2","error_m3","error_m4","external_err"
2,2.95716996473117,0.0358837820570815,1.99381665791413,0.0650209835697774,0.1
3,5.65455333201989,0.0692161512345104,4.11593755868209,0.102206169117423,0.1
4,8.7248943929552,0.108163692013503,7.17813536273517,0.147689828443281,0.1
5,12.4308791053641,0.156023549716246,10.8462883596239,0.196244610638055,0.1
6,16.3380636572594,0.206948341152774,14.0847098391259,0.257629033977267,0.1
7,21.2147958102972,0.270601850051248,19.6421228164902,0.339558327691102,0.1
8,27.6277914935712,0.354174727613773,25.0391261058213,0.410856172402444,0.1
9,33.1257494459114,0.425803220151181,29.3931224326377,0.490050768929066,0.1
10,39.1414355440062,0.504626044531894,34.94620324991,0.56733138952842,0.1
11,44.9238584159345,0.581337886162713,41.3700788705507,0.650707050336787,0.1
12,51.0684501822842,0.664434901267479,48.5142947991835,0.747238214013571,0.1
13,58.0649847738642,0.76152168543935,55.6469933866688,0.843493232289301,0.1
14,64.9245180025455,0.859415536697236,59.455245093677,0.928943536468308,0.1
15,70.9121444796125,0.947274046468563,65.0929533692052,1.01072200806811,0.1
16,76.5527751818987,1.0320046937008,70.7817738934723,1.09348216585111,0.1
17,82.1726655891147,1.11802402251324,75.4925172403464,1.18894929220781,0.1
18,88.5392878080172,1.21692972707595,83.3973047120046,1.30435745423879,0.1
19,96.0880880297413,1.33522836969879,90.6376245556266,1.42083641371992,0.1
20,103.557924303671,1.45260242651371,97.5355988538427,1.52911955058044,0.1
21,110.342319370803,1.55875499468262,105.653186114691,1.64086182482696,0.1
22,117.213710358493,1.66523959767379,110.690571982149,1.7280515591132,0.1
23,122.483693720236,1.74546998239078,115.489450170991,1.78457189496857,0.1
24,125.857036545836,1.79530929219135,116.518603225391,1.78754205097538,0.1
25,126.044178980508,1.79563567914363,114.078774917633,1.76376488379487,0.1
26,124.637445493527,1.77154043158442,113.818666152993,1.73730352175303,0.1
27,123.063013784464,1.74502058611842,111.629375941258,1.71104215971118,0.1
28,121.492475741575,1.71870074065242,109.645247855726,1.68498079766934,0.1
29,119.925988417355,1.69258089518642,109.193593926399,1.65911943562749,0.1
30,118.363708459232,1.66666104972041,107.074008731498,1.63345807358565,0.1
1,1.81908537436115,0.0221563772667394,0.976646093296578,0.0490243130978937,0.15
2,4.31803851630343,0.0525816144560552,3.19033783834896,0.0868200501351443,0.15
3,7.45902047016528,0.0919558189664457,5.71054902933144,0.127638330056362,0.15
4,10.8022137076916,0.134833114149279,8.87984284036553,0.17608569744808,0.15
5,14.7210490206391,0.185757428947799,13.226016482751,0.236783760994748,0.15
6,19.5664957115226,0.249037759587807,17.5553537215887,0.313064039386755,0.15
7,25.5669325278308,0.327362217531307,23.3569945209604,0.391655888168475,0.15
8,31.65555577903,0.406750360530621,29.2216635033975,0.468886591630581,0.15
9,37.5467368001929,0.483802447853047,32.8261122178299,0.54695275398941,0.15
10,43.4144579299869,0.561279597781931,39.1645246931872,0.627456798589958,0.15
11,49.3749088809033,0.641291355999027,45.9405996943949,0.720794115275273,0.15
12,56.172163974176,0.73476828855584,53.4666635031043,0.821946893519405,0.15
13,63.4093284344006,0.837213723515343,59.9891859372974,0.91100575126695,0.15
14,69.6712129314803,0.928466703365986,63.5598442465791,0.993373605896008,0.15
15,75.3713288899857,1.01362684229945,69.1442313834903,1.07554789039767,0.15
16,80.9723335076769,1.09900946213453,75.225645978158,1.16379792962858,0.15
17,86.88646300379,1.19067495375943,80.5441759077995,1.27430573107535,0.15
18,94.1549722586086,1.30458122523715,89.1255105301769,1.39778182265149,0.15
19,102.102903755929,1.42986726435687,95.7487482262721,1.50322882334616,0.15
20,108.751344162945,1.53444895956636,103.246821332414,1.62133723771046,0.15
