"time","error_m1","error_m2","error_m3","error_m4","external_err"
1,0,0.00411500633888252,0.0504521126733758,0.109603599261436,0
2,1.07578336629363,0.118936403751038,0.883877479678473,0.1988550293108,0
3,1.87603279313,0.20676070468521,1.63597360294037,0.271209162730959,0
4,2.52227084098357,0.279611759618457,2.23198749496565,0.334035771151809,0
5,3.0808414786848,0.343699122069423,2.85409161855529,0.397140438774448,0
6,3.63877953080482,0.408275723847801,3.36692424441104,0.463096918612707,0
7,4.21785752617511,0.475379873582397,4.00981019583934,0.534073483866809,0
8,4.83585564745628,0.546716111687532,4.65356867900263,0.603651447258843,0
9,5.43611524927768,0.61573025767769,5.09695726018127,0.66249617148027,0
10,5.93851302849766,0.673508658997434,5.61785437736417,0.718650696547158,0
11,6.41316152064684,0.728463027138009,6.13679044020239,0.771348836699435,0
12,6.85391559040561,0.780176509157548,6.656998445968,0.827326180539261,0
13,7.31666919922285,0.835577514534309,7.18933143442786,0.884866964652505,0
14,7.78653898126806,0.893191453898577,7.4737971611328,0.934395284916609,0
15,8.18611424274914,0.9433586812582,7.84742902187835,0.97741405095529,0
16,8.52907917070729,0.987337235850958,8.19852838688286,1.01818710488868,0
17,8.85047287162982,1.02923569676455,8.45329637607349,1.05940556331031,0
18,9.17135193871864,1.07159430370319,8.87591541019454,1.10817515209452,0
19,9.54573535433465,1.12136055546893,9.28070724106567,1.16120735080773,0
20,9.94661307160987,1.17470369579625,9.64168950475992,1.20635123312652,0
21,10.2830381830875,1.2192175244023,10.0636734364377,1.25303106762347,0
22,10.6243866969372,1.26391792199267,10.3452458532863,1.2923605100237,0
23,10.9088816450527,1.30057229461177,10.6313213528616,1.32181628342869,0
24,11.1189064354226,1.32702801359012,10.7642071025321,1.33340893493704,0
25,11.2015292926503,1.33675239677867,10.6778157981627,1.32778196810223,0
26,11.1620803352513,1.33073241812759,10.668595089327,1.31806305099201,0
27,11.0933409915546,1.3209876876855,10.5650892509157,1.30806810209223,0
28,11.0223625299468,1.31099227330004,10.470873772603,1.29806810209223,0
29,10.9510724779519,1.30099227330004,10.4486234151855,1.28806810209223,0
30,10.8795086497154,1.29099227330004,10.3487814017117,1.27806810209223,0
1,0.449953126464822,0.0520081345108,0.29017735903179,0.146061002741731,0.05
2,1.40300401745838,0.154590424837535,1.15899420477208,0.230785309977721,0.05
3,2.16177274563255,0.238720819616727,1.88338496465407,0.302423716270078,0.05
4,2.80021105909837,0.31130198234772,2.52830934207912,0.36713859610125,0.05
5,3.37393362272812,0.377478199940796,3.132593383023,0.426416868480738,0.05
6,3.89648543506602,0.438077409730697,3.60178250899268,0.490848389355165,0.05
7,4.46043864277096,0.503394313903597,4.27824148703503,0.565292070725398,0.05
8,5.10614703273971,0.577841158808885,4.87595763176852,0.626590342937447,0.05
9,5.63285420201517,0.638380291270051,5.30200103946578,0.685457345701211,0.05
10,6.13339415939363,0.696065201280647,5.78468365154798,0.738910485229815,0.05
11,6.58324063802297,0.748378652140728,6.30940593023208,0.791604316607503,0.05
12,7.02208424506096,0.800196880726955,6.8357476526002,0.848862536799456,0.05
13,7.49334812485687,0.857056123714946,7.35338645928349,0.905199966735934,0.05
14,7.9513495456122,0.913670590495678,7.61728539225951,0.951987984578892,0.05
15,8.32698664540225,0.96122594158334,7.97990246581419,0.994098316378522,0.05
16,8.66111776934544,1.00437201265971,8.32586368035037,1.03447980945524,0.05
17,8.9779177733169,1.04589754228846,8.59127566371533,1.0773719790849,0.05
18,9.30999022192302,1.08991137896376,9.02551219467636,1.12814566208445,0.05
19,9.69762888335644,1.14153547118879,9.4299276074338,1.18050126714919,0.05
20,10.0912373863716,1.19391505742514,9.77904137758202,1.22402621004369,0.05
21,10.4131183553882,1.23643011941839,10.1999116678118,1.27081671859109,0.05
22,10.7535955049433,1.28088321288758,10.4543794734719,1.30632085865537,0.05
23,11.0089029906228,1.31358802451983,10.7120334401334,1.3317275345384,0.05
24,11.1892708131532,1.33611001276607,10.7889242205957,1.3364122062446,0.05
25,11.2228483713967,1.33948845444756,10.6802251770008,1.32805789472462,0.05
26,11.1640416455391,1.33098300593818,10.6682525492094,1.31806810209223,0.05
27,11.0933770234525,1.32099227330004,10.5615342317238,1.30806810209223,0.05
28,11.0223625299468,1.31099227330004,10.4713707933351,1.29806810209223,0.05
29,10.9510724779519,1.30099227330004,10.4505267243928,1.28806810209223,0.05
30,10.8795086497154,1.29099227330004,10.3486842349622,1.27806810209223,0.05
1,0.899625046872209,0.100194499657053,0.638323758306294,0.18136459259161,0.1
2,1.71964239443297,0.18943015086591,1.41202572848873,0.254992124525008,0.1
3,2.37793047249492,0.263089625858775,2.02877735562138,0.319696995790426,0.1
4,2.95379322108966,0.328882489672988,2.67920424057875,0.38430434351342,0.1
5,3.52574518440629,0.394998164193513,3.29337036478193,0.442995045839178,0.1
6,4.04203706777404,0.45491575170879,3.7529601435568,0.507571703286607,0.1
7,4.60595221537276,0.520194050380478,4.43194345817839,0.582716335527932,0.1
8,5.25621455931654,0.595125808223583,5.00391108092673,0.640980633406692,0.1
9,5.75549732394268,0.65253599146038,5.4215424403612,0.700036262581494,0.1
10,6.25631165655982,0.71037035730096,5.91153137942361,0.753214039651692,0.1
11,6.7025262711857,0.762455169936379,6.43195762350396,0.806664149653861,0.1
12,7.14621929290476,0.815128763611909,6.96522036975022,0.864429415287085,0.1
13,7.62003837089186,0.872652098742305,7.45969123936566,0.918418876270137,0.1
14,8.05757519372581,0.927046674497695,7.71072273484639,0.963817169627263,0.1
15,8.4209348934434,0.973280045243178,8.06802041204688,1.00534671037812,0.1
16,8.74944427846127,1.015876318112,8.4131904705333,1.04569697611264,0.1
17,9.06491398685695,1.05736655068772,8.68864300338933,1.09038951398471,0.1
18,9.40953175285663,1.10314537893967,9.13221247628441,1.14208469661352,0.1
19,9.80245316386369,1.15552082183697,9.52037943338534,1.19198842851763,0.1
20,10.1763414007034,1.20523957224848,9.87601128258989,1.23657573588537,0.1
21,10.504395240603,1.24850109919159,10.2787735705526,1.28096128935536,0.1
22,10.8265280842241,1.29044162892933,10.5209587007149,1.31455374903927,0.1
