"time","error_m1","error_m2","error_m3","error_m4","external_err"
30,10.8795086497154,1.29099227330004,10.3486601717202,1.27806810209223,0
1,0.449953126464822,0.0520081345108,0.283250180194334,0.145871577292415,0.05
2,1.40141523592978,0.154418600981424,1.15711660770711,0.23066339897881,0.05
3,2.16073250370909,0.238602464561854,1.88026191142383,0.302099775643915,0.05
4,2.79744386721365,0.310976723085793,2.52409117302875,0.366770924917559,0.05
5,3.37080418269676,0.377105697725146,3.12899490768371,0.426185705458362,0.05
6,3.89452977224566,0.43784461121346,3.59749734550917,0.490588604632518,0.05
7,4.45826262932926,0.503137173772808,4.27481409005771,0.564951147771121,0.05
8,5.10333570062576,0.577511712811896,4.87293613839362,0.626431821901667,0.05
9,5.63156587985777,0.638229271135996,5.2996578869266,0.685232771591498,0.05
10,6.13160179329055,0.695852124419286,5.78173634892731,0.738605914409933,0.05
11,6.58085469651,0.748087409039257,6.30630697359927,0.791233672907783,0.05
12,7.01923428658399,0.799836670352529,6.83174577020611,0.848407302234945,0.05
13,7.48991324381009,0.856604663141317,7.3501327328144,0.904803445945934,0.05
14,7.94841553476059,0.913269594020391,7.61402844972028,0.951653416523792,0.05
15,8.324556931225,0.960882713493907,7.97746335292891,0.993792958297675,0.05
16,8.65894268344691,1.00405619366678,8.32330681702208,1.03419722920713,0.05
17,8.97594575809405,1.04560526980843,8.58835684650352,1.07698880168625,0.05
18,9.30737490169769,1.08951891320992,9.02226881582495,1.12768438446917,0.05
19,9.69455881684848,1.14107334305709,9.42642138696371,1.18008010113917,0.05
20,10.0885008521085,1.19350585849451,9.77600934587116,1.22362446942732,0.05
21,10.410593408253,1.23605835958168,10.1967689961001,1.27040611900935,0.05
22,10.751052363882,1.28051512163261,10.4525442209117,1.30610333105028,0.05
23,11.0075951583803,1.31340287739643,10.7108708101141,1.33159082391208,0.05
24,11.1884585114884,1.33599682033158,10.7885583902533,1.33639638987295,0.05
25,11.2227541919906,1.33947545343748,10.6801758689067,1.32805779475722,0.05
26,11.1640410468138,1.3309829238688,10.6682366958122,1.31806810209223,0.05
27,11.0933770234525,1.32099227330004,10.5610894945915,1.30806810209223,0.05
28,11.0223625299468,1.31099227330004,10.47135631082,1.29806810209223,0.05
29,10.9510724779519,1.30099227330004,10.4504821687283,1.28806810209223,0.05
30,10.8795086497154,1.29099227330004,10.3485636588306,1.27806810209223,0.05
1,0.899625046872209,0.100194499657053,0.637487730103516,0.181343258629469,0.1
2,1.71946180323331,0.189410098346985,1.41089569706533,0.254943484613497,0.1
3,2.37751581548398,0.26304149956433,2.02658738379712,0.319598341604182,0.1
4,2.95295250119173,0.328782867516984,2.67839810948118,0.384232644316668,0.1
5,3.52513711888236,0.394925581552953,3.29125190331166,0.442812802758756,0.1
6,4.04050481824688,0.454733483579643,3.7472914255166,0.507185308983161,0.1
7,4.60273650301368,0.519814847840237,4.42760630851318,0.582298148751008,0.1
8,5.25278272060855,0.594723725624429,4.99959377208687,0.640672773862569,0.1
9,5.75301007637738,0.652243496132825,5.41819011133175,0.699645299881063,0.1
10,6.25320317111392,0.709999181323077,5.90650494750145,0.752714782854388,0.1
11,6.69862003395966,0.761977104985273,6.4270160815314,0.806071309913244,0.1
12,7.14166782327314,0.814551411000201,6.95960549707182,0.863779621580647,0.1
13,7.61514931416622,0.872005738693962,7.4554631208281,0.917899530458058,0.1
14,8.05374690741795,0.926519900231663,7.70662521726968,0.963383446972858,0.1
15,8.41779710902909,0.972834253879979,8.06495254423581,1.00495126137964,0.1
16,8.74663606114259,1.01546711320895,8.40983575889133,1.04530591214244,0.1
17,9.06219515461189,1.05696237766304,8.6847927470008,1.08985973001436,0.1
18,9.40593128722367,1.10260416355084,9.1277529396316,1.14146589148794,0.1
19,9.79835953390815,1.15490441759615,9.51635894294057,1.19149117258565,0.1
20,10.1731311103267,1.20476017160963,9.87190534438473,1.23603141270154,0.1
21,10.5009916758346,1.2480011652484,10.2754476091845,1.28052487638936,0.1
22,10.8238401226946,1.29005362189221,10.5187839800222,1.31429767555637,0.1
23,11.065702831462,1.32094592381496,10.7455992450789,1.33576114372259,0.1
24,11.2179039587854,1.33979426047182,10.7940550873567,1.33697971007259,0.1
25,11.2268791074288,1.34000492636507,10.680714787634,1.32806810209224,0.1
26,11.1641141831104,1.33099227330004,10.6685701078462,1.31806810209223,0.1
27,11.0933770234525,1.32099227330004,10.5650326507179,1.30806810209223,0.1
28,11.0223625299468,1.31099227330004,10.4711508475416,1.29806810209223,0.1
29,10.9510724779519,1.30099227330004,10.4495236541328,1.28806810209223,0.1
30,10.8795086497154,1.29099227330004,10.3475405059871,1.27806810209223,0.1
